ID_Nasabah,Umur,Jenis_Kelamin,Saldo,Produk,Cabang,Tanggal_Pembukaan
1032,27,Perempuan,10000000,Tabungan,Surabaya,2022-04-16
1033,27,Laki-laki,9000000,Deposito,Bandung,2020-02-25
1034,25,Perempuan,12000000,Deposito,Jakarta Pusat,2020-02-12
1035,49,Perempuan,20000000,Deposito,Bali,2020-01-03
1036,35,Perempuan,18000000,Deposito,Surabaya,2021-01-24
1037,33,Perempuan,28000000,Tabungan,Bali,2020-12-02
1038,54,Perempuan,11000000,Tabungan,Bandung,2022-08-28
1039,26,Laki-laki,30000000,Deposito,Jakarta Pusat,2022-11-30
1040,57,Laki-laki,26000000,Deposito,Yogyakarta,2020-11-22
1041,20,Perempuan,21000000,Tabungan,Surabaya,2022-03-08
1042,19,Laki-laki,13000000,Tabungan,Surabaya,2022-07-23
1043,58,Laki-laki,29000000,Deposito,Jakarta Pusat,2022-09-16
1044,50,Laki-laki,2000000,Tabungan,Jakarta Pusat,2020-10-29
1045,59,Perempuan,13000000,Tabungan,Surabaya,2021-07-18
1046,28,Perempuan,25000000,Tabungan,Surabaya,2021-12-08
1047,19,Perempuan,19000000,Deposito,Bandung,2020-06-04
1048,42,Perempuan,13000000,Deposito,Yogyakarta,2021-09-19
1049,28,Laki-laki,25000000,Tabungan,Jakarta Pusat,2020-12-07
1050,34,Laki-laki,8000000,Deposito,Bali,2021-09-11
1051,40,Perempuan,29043788,Deposito,Yogyakarta,2022-08-24
1052,56,Laki-laki,22652250,Deposito,Jakarta Pusat,2022-06-15
1053,57,Laki-laki,27485070,Tabungan,Jakarta Pusat,2022-12-17
1054,62,Laki-laki,16330635,Tabungan,Surabaya,2021-08-17
1055,47,Laki-laki,24489561,Deposito,Jakarta Pusat,2021-06-15
1056,41,Perempuan,14669358,Deposito,Yogyakarta,2021-08-23
1057,63,Laki-laki,17801302,Deposito,Bandung,2020-08-16
1058,68,Perempuan,7237877,Tabungan,Jakarta Pusat,2021-05-05
1059,62,Perempuan,28027918,Deposito,Surabaya,2022-11-19
1060,26,Laki-laki,13304571,Tabungan,Bandung,2022-10-02
1061,32,Perempuan,29983541,Tabungan,Jakarta Pusat,2021-03-26
1062,43,Laki-laki,22918681,Deposito,Surabaya,2021-03-18
1063,60,Laki-laki,28649362,Deposito,Yogyakarta,2020-09-06
1064,30,Perempuan,25835228,Deposito,Bandung,2020-04-05
1065,58,Laki-laki,1040757,Tabungan,Surabaya,2020-05-18
1066,64,Perempuan,9127334,Tabungan,Yogyakarta,2021-11-26
1067,68,Laki-laki,20192962,Deposito,Bali,2022-09-12
1068,50,Laki-laki,2656665,Tabungan,Bali,2021-04-13
1069,28,Laki-laki,27425839,Deposito,Bandung,2022-12-26
1070,29,Perempuan,15484656,Deposito,Jakarta Pusat,2021-05-05
1071,62,Perempuan,1142117,Deposito,Yogyakarta,2021-12-02
1072,43,Perempuan,17974271,Tabungan,Bali,2020-05-01
1073,50,Perempuan,4971127,Deposito,Bandung,2021-05-01
1074,54,Perempuan,2127274,Deposito,Bandung,2022-07-23
1075,27,Laki-laki,26964365,Tabungan,Bali,2020-04-24
1076,68,Laki-laki,14601661,Deposito,Yogyakarta,2021-08-21
1077,46,Laki-laki,28751144,Deposito,Yogyakarta,2021-05-05
1078,67,Laki-laki,3486291,Deposito,Surabaya,2020-04-02
1079,31,Perempuan,17749296,Deposito,Bali,2020-06-02
1080,41,Perempuan,6687170,Tabungan,Bandung,2020-12-15
1081,22,Perempuan,4130717,Tabungan,Surabaya,2020-07-04
1082,45,Perempuan,14335073,Tabungan,Surabaya,2021-06-02
1083,39,Laki-laki,3259902,Deposito,Bandung,2021-05-02
1084,40,Perempuan,18488034,Deposito,Jakarta Pusat,2021-12-26
1085,32,Perempuan,7538396,Deposito,Bali,2020-06-19
1086,59,Perempuan,24406908,Deposito,Surabaya,2021-09-05
1087,68,Perempuan,27340758,Tabungan,Bali,2021-07-23
1088,58,Perempuan,7075320,Tabungan,Bandung,2022-09-13
1089,49,Laki-laki,21470234,Deposito,Jakarta Pusat,2021-07-31
1090,44,Laki-laki,18989785,Deposito,Yogyakarta,2022-08-21
1091,57,Perempuan,2588319,Tabungan,Surabaya,2020-06-23
1092,59,Laki-laki,3335504,Tabungan,Surabaya,2021-01-25
1093,34,Laki-laki,17106987,Deposito,Jakarta Pusat,2020-04-11
1094,29,Laki-laki,10313730,Tabungan,Jakarta Pusat,2022-08-09
1095,67,Perempuan,10564155,Tabungan,Surabaya,2020-02-23
1096,69,Perempuan,26005446,Tabungan,Surabaya,2022-12-20
1097,36,Perempuan,14472421,Deposito,Bandung,2022-03-02
1098,42,Perempuan,25257899,Deposito,Yogyakarta,2020-07-23
1099,64,Laki-laki,1355471,Tabungan,Jakarta Pusat,2020-11-04
1100,52,Laki-laki,19686735,Deposito,Bali,2020-06-22
1101,61,Perempuan,28004462,Deposito,Yogyakarta,2020-03-22
1102,33,Laki-laki,6009759,Deposito,Jakarta Pusat,2020-10-25
1103,23,Laki-laki,25328726,Tabungan,Jakarta Pusat,2020-09-01
1104,52,Laki-laki,29078385,Tabungan,Surabaya,2021-10-26
1105,49,Laki-laki,21914227,Deposito,Jakarta Pusat,2021-02-05
1106,36,Perempuan,6229411,Deposito,Yogyakarta,2022-02-19
1107,65,Laki-laki,18046028,Deposito,Bandung,2020-09-23
1108,43,Perempuan,14096330,Tabungan,Jakarta Pusat,2021-08-12
1109,20,Perempuan,6274955,Deposito,Surabaya,2020-01-15
1110,20,Laki-laki,1394928,Tabungan,Bandung,2022-02-14
1111,37,Perempuan,25566855,Tabungan,Jakarta Pusat,2020-03-08
1112,53,Laki-laki,20430628,Deposito,Surabaya,2020-04-21
1113,55,Laki-laki,28250818,Deposito,Yogyakarta,2021-04-25
1114,29,Perempuan,14912913,Deposito,Bandung,2021-10-20
1115,68,Laki-laki,12592232,Tabungan,Surabaya,2020-09-13
1116,49,Perempuan,4779821,Tabungan,Yogyakarta,2020-09-22
1117,49,Laki-laki,11192201,Deposito,Bali,2022-04-21
1118,31,Laki-laki,11737081,Tabungan,Bali,2020-01-07
1119,58,Laki-laki,10764830,Deposito,Bandung,2021-01-28
1120,50,Perempuan,26486527,Deposito,Jakarta Pusat,2020-04-02
1121,29,Perempuan,26639270,Deposito,Yogyakarta,2020-11-17
1122,68,Perempuan,17792391,Tabungan,Bali,2022-08-25
1123,39,Perempuan,5721028,Deposito,Bandung,2020-12-15
1124,24,Perempuan,12138625,Deposito,Bandung,2022-06-02
1125,46,Laki-laki,1080293,Tabungan,Bali,2020-06-12
1126,30,Laki-laki,16936242,Deposito,Yogyakarta,2020-03-15
1127,52,Laki-laki,18806289,Deposito,Yogyakarta,2022-09-01
1128,47,Laki-laki,11100801,Deposito,Surabaya,2020-11-25
1129,69,Perempuan,22188651,Deposito,Bali,2020-04-16
1130,39,Perempuan,12765130,Tabungan,Bandung,2021-05-16
1131,20,Perempuan,26980255,Tabungan,Surabaya,2022-06-15
1132,37,Perempuan,5940486,Tabungan,Surabaya,2021-04-04
1133,55,Laki-laki,21324115,Deposito,Bandung,2021-05-31
1134,35,Perempuan,4638812,Deposito,Jakarta Pusat,2021-11-13
1135,33,Perempuan,9011564,Deposito,Bali,2020-09-15
1136,48,Perempuan,8299626,Deposito,Surabaya,2022-08-10
1137,67,Perempuan,24153388,Tabungan,Bali,2022-04-07
1138,64,Perempuan,6084134,Tabungan,Bandung,2021-08-05
1139,25,Laki-laki,6272638,Deposito,Jakarta Pusat,2021-11-21
1140,59,Laki-laki,1981677,Deposito,Yogyakarta,2021-06-25
1141,45,Perempuan,4849000,Tabungan,Surabaya,2020-04-08
1142,32,Laki-laki,19623119,Tabungan,Surabaya,2020-08-18
1143,22,Laki-laki,5254322,Deposito,Jakarta Pusat,2022-02-04
1144,67,Laki-laki,12580535,Tabungan,Jakarta Pusat,2022-08-13
1145,21,Perempuan,15705261,Tabungan,Surabaya,2021-09-29
1146,23,Perempuan,24839779,Tabungan,Surabaya,2022-12-28
1147,48,Perempuan,1098366,Deposito,Bandung,2021-03-11
1148,46,Perempuan,17054328,Deposito,Yogyakarta,2020-04-13
1149,55,Laki-laki,25600316,Tabungan,Jakarta Pusat,2022-12-24
1150,43,Laki-laki,22985155,Deposito,Bali,2020-03-11
1151,26,Perempuan,15274502,Deposito,Yogyakarta,2020-01-08
1152,36,Laki-laki,28370175,Deposito,Jakarta Pusat,2020-06-28
1153,56,Laki-laki,27829153,Tabungan,Jakarta Pusat,2022-06-09
1154,29,Laki-laki,19747268,Tabungan,Surabaya,2020-07-27
1155,44,Laki-laki,26954500,Deposito,Jakarta Pusat,2021-07-31
1156,53,Perempuan,4589247,Deposito,Yogyakarta,2022-02-09
1157,49,Laki-laki,14589616,Deposito,Bandung,2021-05-07
1158,66,Perempuan,4900514,Tabungan,Jakarta Pusat,2021-08-04
1159,43,Perempuan,3661424,Deposito,Surabaya,2022-12-12
1160,58,Laki-laki,22138806,Tabungan,Bandung,2022-05-27
1161,52,Perempuan,22426343,Tabungan,Jakarta Pusat,2021-03-31
1162,42,Laki-laki,12090295,Deposito,Surabaya,2021-10-24
1163,60,Laki-laki,25801432,Deposito,Yogyakarta,2022-12-25
1164,37,Perempuan,17243147,Deposito,Bandung,2020-08-24
1165,37,Laki-laki,11453476,Tabungan,Surabaya,2020-07-04
1166,45,Perempuan,13289014,Tabungan,Yogyakarta,2021-08-05
1167,42,Laki-laki,29589065,Deposito,Bali,2020-05-18
1168,44,Laki-laki,7546722,Tabungan,Bali,2021-11-28
1169,66,Laki-laki,18242132,Deposito,Bandung,2020-06-05
1170,52,Perempuan,28011880,Deposito,Jakarta Pusat,2021-07-07
1171,62,Perempuan,3472369,Deposito,Yogyakarta,2022-01-19
1172,40,Perempuan,24922271,Tabungan,Bali,2020-10-11
1173,35,Perempuan,11323658,Deposito,Bandung,2022-10-04
1174,38,Perempuan,20168500,Deposito,Bandung,2022-07-26
1175,56,Laki-laki,21979742,Tabungan,Bali,2021-01-07
1176,22,Laki-laki,27605992,Deposito,Yogyakarta,2021-03-07
1177,22,Laki-laki,11350003,Deposito,Yogyakarta,2021-05-19
1178,32,Laki-laki,14696967,Deposito,Surabaya,2020-10-16
1179,26,Perempuan,17368286,Deposito,Bali,2022-10-02
1180,28,Perempuan,3842711,Tabungan,Bandung,2021-06-20
1181,69,Perempuan,18287162,Tabungan,Surabaya,2021-03-16
1182,25,Perempuan,27324131,Tabungan,Surabaya,2021-10-14
1183,67,Laki-laki,8753422,Deposito,Bandung,2020-12-02
1184,67,Perempuan,16308153,Deposito,Jakarta Pusat,2022-03-26
1185,44,Perempuan,17481453,Deposito,Bali,2021-10-07
1186,22,Perempuan,22887583,Deposito,Surabaya,2020-03-13
1187,51,Perempuan,15848769,Tabungan,Bali,2021-08-31
1188,63,Perempuan,15172115,Tabungan,Bandung,2021-08-07
1189,37,Laki-laki,3806815,Deposito,Jakarta Pusat,2022-08-22
1190,33,Laki-laki,8385283,Deposito,Yogyakarta,2020-01-24
1191,67,Perempuan,26326417,Tabungan,Surabaya,2021-06-16
1192,32,Laki-laki,17227516,Tabungan,Surabaya,2020-02-22
1193,28,Laki-laki,27456389,Deposito,Jakarta Pusat,2022-04-16
1194,68,Laki-laki,16118329,Tabungan,Jakarta Pusat,2022-11-21
1195,30,Perempuan,19752329,Tabungan,Surabaya,2022-07-13
1196,26,Perempuan,7098036,Tabungan,Surabaya,2022-10-20
1197,45,Perempuan,8818362,Deposito,Bandung,2021-06-29
1198,54,Perempuan,26652694,Deposito,Yogyakarta,2022-10-24
1199,66,Laki-laki,21421654,Tabungan,Jakarta Pusat,2022-06-02
1200,67,Laki-laki,11838457,Deposito,Bali,2021-07-30
1201,47,Perempuan,9931623,Deposito,Yogyakarta,2021-07-13
1202,47,Laki-laki,7229728,Deposito,Jakarta Pusat,2022-07-08
1203,25,Laki-laki,12719712,Tabungan,Jakarta Pusat,2022-04-29
1204,20,Laki-laki,22779512,Tabungan,Surabaya,2020-10-20
1205,54,Laki-laki,6060625,Deposito,Jakarta Pusat,2022-01-15
1206,39,Perempuan,23254229,Deposito,Yogyakarta,2021-07-02
1207,43,Laki-laki,24891408,Deposito,Bandung,2020-11-16
1208,50,Perempuan,13066821,Tabungan,Jakarta Pusat,2020-12-17
1209,54,Perempuan,15529744,Deposito,Surabaya,2022-02-21
1210,33,Laki-laki,6766202,Tabungan,Bandung,2022-04-21
1211,26,Perempuan,13088397,Tabungan,Jakarta Pusat,2020-10-07
1212,30,Laki-laki,15078235,Deposito,Surabaya,2020-10-12
1213,28,Laki-laki,20766871,Deposito,Yogyakarta,2021-02-12
1214,46,Perempuan,2262057,Deposito,Bandung,2022-02-15
1215,66,Laki-laki,26260135,Tabungan,Surabaya,2021-03-07
1216,22,Perempuan,11049069,Tabungan,Yogyakarta,2022-07-06
1217,62,Laki-laki,21948954,Deposito,Bali,2022-01-28
1218,47,Laki-laki,19757940,Tabungan,Bali,2021-11-09
1219,21,Laki-laki,13412234,Deposito,Bandung,2020-04-15
1220,40,Perempuan,13178763,Deposito,Jakarta Pusat,2020-11-15
1221,67,Perempuan,24587779,Deposito,Yogyakarta,2020-11-11
1222,57,Perempuan,21634268,Tabungan,Bali,2021-02-12
1223,45,Perempuan,1100633,Deposito,Bandung,2021-06-13
1224,22,Perempuan,28796977,Deposito,Bandung,2020-05-20
1225,58,Laki-laki,22743787,Tabungan,Bali,2020-12-09
1226,24,Laki-laki,19164066,Deposito,Yogyakarta,2020-01-22
1227,40,Laki-laki,15776268,Deposito,Yogyakarta,2021-11-20
1228,44,Laki-laki,8621336,Deposito,Surabaya,2021-08-21
1229,27,Perempuan,27450920,Deposito,Bali,2022-05-21
1230,28,Perempuan,11281765,Tabungan,Bandung,2021-10-25
1231,30,Perempuan,21443724,Tabungan,Surabaya,2021-03-22
1232,26,Perempuan,17462935,Tabungan,Surabaya,2021-08-25
1233,39,Laki-laki,5128523,Deposito,Bandung,2022-06-23
1234,66,Perempuan,8713467,Deposito,Jakarta Pusat,2021-02-19
1235,53,Perempuan,18198922,Deposito,Bali,2021-04-07
1236,28,Perempuan,28426280,Deposito,Surabaya,2020-06-01
1237,55,Perempuan,12365948,Tabungan,Bali,2022-07-19
1238,68,Perempuan,22261798,Tabungan,Bandung,2021-10-05
1239,31,Laki-laki,10164607,Deposito,Jakarta Pusat,2022-02-24
1240,25,Laki-laki,27121249,Deposito,Yogyakarta,2022-09-25
1241,66,Perempuan,13554756,Tabungan,Surabaya,2022-04-19
1242,21,Laki-laki,29707244,Tabungan,Surabaya,2021-05-23
1243,47,Laki-laki,27511279,Deposito,Jakarta Pusat,2022-03-13
1244,62,Laki-laki,17999916,Tabungan,Jakarta Pusat,2020-08-07
1245,55,Perempuan,16648356,Tabungan,Surabaya,2021-03-18
1246,65,Perempuan,16544146,Tabungan,Surabaya,2021-06-09
1247,59,Perempuan,24165378,Deposito,Bandung,2021-01-02
1248,60,Perempuan,13914362,Deposito,Yogyakarta,2022-11-20
1249,29,Laki-laki,15276402,Tabungan,Jakarta Pusat,2020-02-25
1250,32,Laki-laki,1311659,Deposito,Bali,2020-02-14
1251,56,Perempuan,27355766,Deposito,Yogyakarta,2021-05-11
1252,68,Laki-laki,13007929,Deposito,Jakarta Pusat,2022-09-21
1253,56,Laki-laki,10208347,Tabungan,Jakarta Pusat,2021-08-15
1254,35,Laki-laki,11046527,Tabungan,Surabaya,2020-05-28
1255,20,Laki-laki,29521682,Deposito,Jakarta Pusat,2022-09-22
1256,58,Perempuan,24601034,Deposito,Yogyakarta,2020-11-30
1257,34,Laki-laki,8985335,Deposito,Bandung,2020-08-27
1258,25,Perempuan,25595209,Tabungan,Jakarta Pusat,2021-08-30
1259,33,Perempuan,14087577,Deposito,Surabaya,2022-05-26
1260,48,Laki-laki,11139233,Tabungan,Bandung,2020-03-06
1261,34,Perempuan,14912814,Tabungan,Jakarta Pusat,2022-07-17
1262,55,Laki-laki,7454522,Deposito,Surabaya,2022-04-25
1263,45,Laki-laki,13033478,Deposito,Yogyakarta,2020-11-13
1264,33,Perempuan,15707832,Deposito,Bandung,2021-02-07
1265,37,Laki-laki,18453893,Tabungan,Surabaya,2020-09-25
1266,43,Perempuan,3164022,Tabungan,Yogyakarta,2021-03-02
1267,46,Laki-laki,18801829,Deposito,Bali,2021-03-18
1268,67,Laki-laki,19036134,Tabungan,Bali,2022-02-25
1269,36,Laki-laki,19100202,Deposito,Bandung,2022-05-26
1270,57,Perempuan,28123601,Deposito,Jakarta Pusat,2022-03-19
1271,51,Perempuan,5276723,Deposito,Yogyakarta,2021-09-11
1272,47,Perempuan,28118255,Tabungan,Bali,2021-05-18
1273,62,Perempuan,5266099,Deposito,Bandung,2022-08-19
1274,26,Perempuan,5606506,Deposito,Bandung,2022-02-19
1275,42,Laki-laki,28562484,Tabungan,Bali,2021-10-04
1276,62,Laki-laki,28912369,Deposito,Yogyakarta,2022-01-30
1277,57,Laki-laki,21023015,Deposito,Yogyakarta,2022-12-25
1278,58,Laki-laki,2173614,Deposito,Surabaya,2020-08-10
1279,65,Perempuan,21621220,Deposito,Bali,2021-11-29
1280,67,Perempuan,1854276,Tabungan,Bandung,2020-03-10
1281,56,Perempuan,23345072,Tabungan,Surabaya,2020-04-26
1282,30,Perempuan,11716374,Tabungan,Surabaya,2021-08-28
1283,63,Laki-laki,1949148,Deposito,Bandung,2022-10-06
1284,65,Perempuan,18374162,Deposito,Jakarta Pusat,2022-03-02
1285,20,Perempuan,21225093,Deposito,Bali,2020-12-09
1286,27,Perempuan,16477453,Deposito,Surabaya,2021-11-02
1287,57,Perempuan,14982858,Tabungan,Bali,2021-08-19
1288,60,Perempuan,17683075,Tabungan,Bandung,2020-09-18
1289,29,Laki-laki,19171139,Deposito,Jakarta Pusat,2020-08-03
1290,55,Laki-laki,25493615,Deposito,Yogyakarta,2021-09-10
1291,25,Perempuan,29829049,Tabungan,Surabaya,2021-10-29
1292,59,Laki-laki,9451591,Tabungan,Surabaya,2020-09-13
1293,30,Laki-laki,18285125,Deposito,Jakarta Pusat,2021-04-26
1294,44,Laki-laki,29022530,Tabungan,Jakarta Pusat,2022-06-24
1295,47,Perempuan,16596848,Tabungan,Surabaya,2021-09-29
1296,29,Perempuan,10071278,Tabungan,Surabaya,2021-04-21
1297,38,Perempuan,17517423,Deposito,Bandung,2021-05-01
1298,22,Perempuan,9878734,Deposito,Yogyakarta,2022-04-06
1299,57,Laki-laki,6477832,Tabungan,Jakarta Pusat,2022-01-10
1300,69,Laki-laki,7540409,Deposito,Bali,2022-04-09
1301,27,Perempuan,13661320,Deposito,Yogyakarta,2022-10-26
1302,65,Laki-laki,18345198,Deposito,Jakarta Pusat,2022-05-10
1303,42,Laki-laki,18474868,Tabungan,Jakarta Pusat,2021-06-05
1304,27,Laki-laki,14507217,Tabungan,Surabaya,2021-08-01
1305,20,Laki-laki,8193397,Deposito,Jakarta Pusat,2021-05-07
1306,51,Perempuan,15181486,Deposito,Yogyakarta,2021-06-05
1307,21,Laki-laki,15502115,Deposito,Bandung,2022-09-23
1308,69,Perempuan,29690955,Tabungan,Jakarta Pusat,2022-10-02
1309,50,Perempuan,28725689,Deposito,Surabaya,2021-06-01
1310,52,Laki-laki,2301979,Tabungan,Bandung,2021-08-03
1311,51,Perempuan,9177923,Tabungan,Jakarta Pusat,2020-09-17
1312,25,Laki-laki,29152202,Deposito,Surabaya,2022-10-04
1313,36,Laki-laki,15479412,Deposito,Yogyakarta,2020-03-22
1314,21,Perempuan,15551589,Deposito,Bandung,2022-03-29
1315,56,Laki-laki,7575840,Tabungan,Surabaya,2021-04-18
1316,68,Perempuan,24839283,Tabungan,Yogyakarta,2022-11-30
1317,40,Laki-laki,10290125,Deposito,Bali,2021-04-18
1318,65,Laki-laki,22170727,Tabungan,Bali,2022-05-13
1319,23,Laki-laki,4232019,Deposito,Bandung,2020-11-08
1320,32,Perempuan,18253304,Deposito,Jakarta Pusat,2022-10-14
1321,65,Perempuan,12356553,Deposito,Yogyakarta,2021-11-29
1322,55,Perempuan,8968233,Tabungan,Bali,2022-01-01
1323,63,Perempuan,16703322,Deposito,Bandung,2022-01-16
1324,67,Perempuan,4261941,Deposito,Bandung,2021-03-01
1325,60,Laki-laki,22731419,Tabungan,Bali,2021-10-13
1326,60,Laki-laki,7555633,Deposito,Yogyakarta,2022-08-24
1327,50,Laki-laki,24612579,Deposito,Yogyakarta,2021-04-25
1328,49,Laki-laki,14846643,Deposito,Surabaya,2022-03-11
1329,40,Perempuan,8075244,Deposito,Bali,2020-03-21
1330,22,Perempuan,7519006,Tabungan,Bandung,2022-06-25
1331,29,Perempuan,11074319,Tabungan,Surabaya,2022-02-18
1332,45,Perempuan,3208865,Tabungan,Surabaya,2021-10-27
1333,52,Laki-laki,17037165,Deposito,Bandung,2021-02-03
1334,45,Perempuan,3064381,Deposito,Jakarta Pusat,2022-03-01
1335,58,Perempuan,21466662,Deposito,Bali,2020-11-12
1336,42,Perempuan,7420004,Deposito,Surabaya,2021-06-07
1337,23,Perempuan,25436556,Tabungan,Bali,2022-08-22
1338,30,Perempuan,18334534,Tabungan,Bandung,2022-07-02
1339,53,Laki-laki,29462738,Deposito,Jakarta Pusat,2022-12-08
1340,49,Laki-laki,22136227,Deposito,Yogyakarta,2020-08-16
1341,51,Perempuan,24769720,Tabungan,Surabaya,2022-10-12
1342,54,Laki-laki,22403649,Tabungan,Surabaya,2020-11-30
1343,56,Laki-laki,8191193,Deposito,Jakarta Pusat,2020-02-26
1344,28,Laki-laki,2546043,Tabungan,Jakarta Pusat,2021-01-25
1345,26,Perempuan,29699647,Tabungan,Surabaya,2021-09-24
1346,57,Perempuan,7070952,Tabungan,Surabaya,2021-03-23
1347,47,Perempuan,11406434,Deposito,Bandung,2020-04-18
1348,44,Perempuan,3411354,Deposito,Yogyakarta,2021-04-12
1349,68,Laki-laki,18493457,Tabungan,Jakarta Pusat,2021-10-14
1350,28,Laki-laki,16855169,Deposito,Bali,2022-06-11
1351,58,Perempuan,3780816,Deposito,Yogyakarta,2021-06-25
1352,52,Laki-laki,11007256,Deposito,Jakarta Pusat,2020-09-25
1353,25,Laki-laki,18493406,Tabungan,Jakarta Pusat,2021-09-12
1354,57,Laki-laki,2197963,Tabungan,Surabaya,2021-02-08
1355,31,Laki-laki,21760615,Deposito,Jakarta Pusat,2022-02-26
1356,56,Perempuan,22491305,Deposito,Yogyakarta,2020-11-16
1357,54,Laki-laki,3245974,Deposito,Bandung,2021-04-10
1358,53,Perempuan,6009301,Tabungan,Jakarta Pusat,2021-07-29
1359,63,Perempuan,8881942,Deposito,Surabaya,2020-06-04
1360,35,Laki-laki,10798758,Tabungan,Bandung,2021-01-31
1361,41,Perempuan,15251054,Tabungan,Jakarta Pusat,2020-04-26
1362,65,Laki-laki,23977617,Deposito,Surabaya,2022-01-27
1363,36,Laki-laki,14350766,Deposito,Yogyakarta,2022-10-22
1364,57,Perempuan,17037473,Deposito,Bandung,2020-10-10
1365,22,Laki-laki,16048732,Tabungan,Surabaya,2020-11-10
1366,66,Perempuan,11843321,Tabungan,Yogyakarta,2020-08-17
1367,22,Laki-laki,23895528,Deposito,Bali,2021-09-05
1368,30,Laki-laki,19881588,Tabungan,Bali,2022-04-09
1369,69,Laki-laki,29918396,Deposito,Bandung,2021-03-20
1370,24,Perempuan,9945519,Deposito,Jakarta Pusat,2020-08-07
1371,43,Perempuan,25489840,Deposito,Yogyakarta,2022-01-16
1372,52,Perempuan,2243920,Tabungan,Bali,2020-04-17
1373,33,Perempuan,26083936,Deposito,Bandung,2020-09-23
1374,33,Perempuan,9551621,Deposito,Bandung,2022-12-10
1375,41,Laki-laki,23030483,Tabungan,Bali,2020-06-16
1376,39,Laki-laki,28312063,Deposito,Yogyakarta,2021-07-31
1377,62,Laki-laki,14410992,Deposito,Yogyakarta,2021-09-30
1378,27,Laki-laki,9116320,Deposito,Surabaya,2021-03-12
1379,67,Perempuan,7549829,Deposito,Bali,2021-08-07
1380,32,Perempuan,17114445,Tabungan,Bandung,2021-10-19
1381,34,Perempuan,19996230,Tabungan,Surabaya,2022-03-10
1382,41,Perempuan,17241053,Tabungan,Surabaya,2020-02-06
1383,38,Laki-laki,16985917,Deposito,Bandung,2021-02-12
1384,21,Perempuan,7090700,Deposito,Jakarta Pusat,2021-09-25
1385,67,Perempuan,11098112,Deposito,Bali,2022-06-24
1386,28,Perempuan,23119867,Deposito,Surabaya,2021-01-16
1387,45,Perempuan,9386859,Tabungan,Bali,2021-10-27
1388,57,Perempuan,7858803,Tabungan,Bandung,2021-10-10
1389,22,Laki-laki,23537611,Deposito,Jakarta Pusat,2021-01-21
1390,34,Laki-laki,17968739,Deposito,Yogyakarta,2021-10-17
1391,40,Perempuan,10559918,Tabungan,Surabaya,2021-08-28
1392,34,Laki-laki,28524134,Tabungan,Surabaya,2022-04-12
1393,33,Laki-laki,14148250,Deposito,Jakarta Pusat,2022-10-05
1394,44,Laki-laki,16285515,Tabungan,Jakarta Pusat,2020-06-24
1395,63,Perempuan,7108134,Tabungan,Surabaya,2022-05-23
1396,64,Perempuan,16174063,Tabungan,Surabaya,2021-11-11
1397,22,Perempuan,5527553,Deposito,Bandung,2020-08-18
1398,38,Perempuan,12921874,Deposito,Yogyakarta,2020-02-24
1399,61,Laki-laki,28682085,Tabungan,Jakarta Pusat,2022-07-31
1400,48,Laki-laki,13858390,Deposito,Bali,2022-10-07
1401,63,Perempuan,20990726,Deposito,Yogyakarta,2021-12-21
